Code,X,Y
1929.08333,0.023596214,-0.05585404
1929.16666,0.011894459,-0.057440202
1929.24999,0.021494357,-0.070024033
1929.33332,0.025276783,-0.067613828
1929.41665,0.022347864,-0.067384673
1929.49998,-0.03784573,-0.073131938
1929.58331,-0.079653709,-0.079907167
1929.66664,-0.107554906,-0.073321379
1929.74997,0.018424697,-0.060878371
1929.8333,0.337672356,-0.031761882
1929.91663,0.307702483,-0.037864943
1930,0.300170395,-0.039570006
1930.08333,0.248807573,-0.046312581
1930.16666,0.211942765,-0.050668088
1930.24999,0.159324039,-0.055904967
1930.33332,0.220359929,-0.064572322
1930.41665,0.323106162,-0.062812799
1930.49998,0.33784618,-0.057402916
1930.58331,0.34649833,-0.053963718
1930.66664,0.357355175,-0.049733282
1930.74997,0.503234509,-0.03408101
1930.8333,0.572520193,-0.024389125
1930.91663,0.625866173,-0.021809909
1931,0.583192036,-0.0246538
1931.08333,0.499978006,-0.038150625
1931.16666,0.468171708,-0.039023025
1931.24999,0.555857858,-0.031781467
1931.33332,0.641162125,-0.023558408
1931.41665,0.654753733,-0.016603443
1931.49998,0.616008377,-0.014619162
1931.58331,0.640837503,-0.011725576
1931.66664,0.790037007,0.004855603
1931.74997,0.921165092,0.015209865
1931.8333,0.888870136,0.00938616
1931.91663,1.087607069,0.023496398
1932,1.079353927,0.027135609
1932.08333,1.067951182,0.025018928
1932.16666,1.068670065,0.01934978
1932.24999,1.346004988,0.042606132
1932.33332,1.472283715,0.056807668
1932.41665,1.618014587,0.075964491
1932.49998,1.579141518,0.074671412
1932.58331,1.177113435,0.033693011
1932.66664,1.085609196,0.025808986
1932.74997,1.234899475,0.047979653
1932.8333,1.246045581,0.050774245
1932.91663,1.278832854,0.054824386
1933,1.232434009,0.056979252
1933.08333,1.350259487,0.075403552
1933.16666,1.351224559,0.079158113
1933.24999,1.251707526,0.0724546
1933.33332,1.003074862,0.05116396
1933.41665,0.853902959,0.03735515
1933.49998,0.811649225,0.031905455
1933.58331,0.873949891,0.032245318
1933.66664,0.883242878,0.035479221
1933.74997,0.988700147,0.044965519
1933.8333,0.965698962,0.038130873
1933.91663,0.94979581,0.037729604
1934,0.893692995,0.035645961
1934.08333,0.833292396,0.028157479
1934.16666,0.893001543,0.036396854
1934.24999,0.879322554,0.033297491
1934.33332,0.993517408,0.046035857
1934.41665,0.994444184,0.049576561
1934.49998,1.050245071,0.057216923
1934.58331,1.096793943,0.059947867
1934.66664,1.140487963,0.060954504
1934.74997,1.132613845,0.062805422
1934.8333,1.112868426,0.059482968
1934.91663,1.103403749,0.061203557
1935,1.126086266,0.064333528
1935.08333,1.173084789,0.070685165
1935.16666,1.240913452,0.077057368
1935.24999,1.179377757,0.072313256
1935.33332,1.105866537,0.068479633
1935.41665,1.06828873,0.066587883
1935.49998,1.020651747,0.059375081
1935.58331,0.95765454,0.053249735
1935.66664,0.939605419,0.057725144
1935.74997,0.915266257,0.059230996
1935.8333,0.838672499,0.053541076
1935.91663,0.84055266,0.055198606
1936,0.788350566,0.053784857
1936.08333,0.734698608,0.048549739
1936.16666,0.704228351,0.043579175
1936.24999,0.701018075,0.049665655
1936.33332,0.750458547,0.05545889
1936.41665,0.715037025,0.050684425
1936.49998,0.663634981,0.042181593
1936.58331,0.650294609,0.038222884
1936.66664,0.634384055,0.021339893
1936.74997,0.5828642,0.014084467
1936.8333,0.555038778,0.011141232
1936.91663,0.572397882,0.015838074
1937,0.545734579,0.013478291
1937.08333,0.517460922,0.014709109
1937.16666,0.530232729,0.010945064
1937.24999,0.603496623,0.013674359
1937.33332,0.661735727,0.016677777
1937.41665,0.705333129,0.024208723
1937.49998,0.660109001,0.024777203
1937.58331,0.655809008,0.021976322
1937.66664,0.821469308,0.034875282
1937.74997,0.985212177,0.053245616
1937.8333,1.076330384,0.061418662
1937.91663,1.091662495,0.061502888
1938,1.057834135,0.05772317
1938.08333,1.080410943,0.055088076
1938.16666,1.156923838,0.063204547
1938.24999,1.209699169,0.074673812
1938.33332,1.200814464,0.078417618
1938.41665,1.184101552,0.080018297
1938.49998,1.004313529,0.059499477
1938.58331,1.003647623,0.055933377
1938.66664,1.05431219,0.059429468
1938.74997,0.94094722,0.051671538
1938.8333,0.943623389,0.046064279
1938.91663,0.976401736,0.048494231
1939,0.990798784,0.051371994
1939.08333,0.995398876,0.048538567
1939.16666,0.995185141,0.049843853
1939.24999,1.121692602,0.063492479
1939.33332,1.089454351,0.059383822
1939.41665,1.071270505,0.052285748
1939.49998,1.046370944,0.055739453
1939.58331,1.060599998,0.061072218
1939.66664,0.985064877,0.052524017
1939.74997,0.967236718,0.054326811
1939.8333,0.984837274,0.057844593
1939.91663,1.01323124,0.063108615
1940,1.011601912,0.065933108
1940.08333,1.025932622,0.06899666
1940.16666,1.038110969,0.070848535
1940.24999,1.034992627,0.073194719
1940.33332,1.195356696,0.091686605
1940.41665,1.301188799,0.102598896
1940.49998,1.27021945,0.092168814
1940.58331,1.259062771,0.09639072
1940.66664,1.228518261,0.09608837
1940.74997,1.229865136,0.099562112
1940.8333,1.218315166,0.097528905
1940.91663,1.284427541,0.101687787
1941,1.295247803,0.10898322
1941.08333,1.372391456,0.118773492
1941.16666,1.355167856,0.116076005
1941.24999,1.372107473,0.120247717
1941.33332,1.384567852,0.122162563
1941.41665,1.355602221,0.116677656
1941.49998,1.290315314,0.113069241
1941.58331,1.294189312,0.117449098
1941.66664,1.286268047,0.119380241
1941.74997,1.327338896,0.122608656
